palavra,quantidade
país,24
Brasil,24
coisa,23
povo,20
governo,19
milhões,19
presidente,18
sabe,16
pessoas,15
gente,15
fazer,14
aqui,12
queria,11
fizemos,10
dizer,10
candidato,10
orgulho,10
quer,10
nesse,10
senhora,10
cultura,10
poderia,9
anos,9
Ciro,8
então,8
bilhões,8
saber,8
problema,8
perguntar,7
república,7
social,7
debate,7
quero,7
alguém,7
corrupção,7
maior,6
falar,6
muita,6
ministério,6
candidata,6
pode,6
quanto,6
mato,6
grosso,6
deveria,5
colocamos,5
criamos,5
inclusão,5
verdade,5
história,5
deixa,5
melhor,5
nunca,5
ainda,5
respeitado,5
quadrilha,5
direito,5
primeiro,5
questão,5
voltar,5
brasileiro,5
plantar,5
absolvido,5
Padre,5
escolher,5
investimento,5
fortalecer,5
mínimo,4
período,4
atual,4
puderam,4
dinheiro,4
assistindo,4
minta,4
celso,4
daniel,4
números,4
combate,4
qualquer,4
pessoa,4
apresentar,4
pública,4
dívida,4
emprego,4
reduzimos,4
quatro,4
além,4
vamos,4
necessário,4
pantanal,4
igreja,4
investimos,4
obras,4
pergunta,3
empregos,3
salário,3
terra,3
federal,3
contra,3
bndes,3
momento,3
desse,3
disso,3
presidência,3
Lula,3
comprar,3
televisão,3
nova,3
talvez,3
governar,3
política,3
reserva,3
deixei,3
educação,3
vacina,3
cada,3
disse,3
dizendo,3
toda,3
possível,3
casa,3
tanto,3
público,3
prefeitura,3
programa,3
trabalho,3
fome,3
tempo,3
fonte,3
vendo,3
gerar,3
enfrentar,3
brasileira,3
mundo,3
serviço,3
gosto,3
cuidar,3
trabalhar,3
amazônia,3
cana,3
quiser,3
laranja,3
neste,3
discutir,3
recuperar,3
infraestrutura,3
prefeita,3
petrobras,3
resultou,3
casas,3
fábrica,3
coisas,3
aumentar,3
outra,2
aumento,2
real,2
geramos,2
achando,2
nervoso,2
ouvindo,2
crua,2
banco,2
nacional,2
viveu,2
pegando,2
herdou,2
antes,2
entrar,2
parte,2
comer,2
picanha,2
tanta,2
prazer,2
empresários,2
ganharam,2
internacional,2
todos,2
querem,2
rachadinha,2
sigilo,2
família,2
pedir,2
resposta,2
peça,2
mentir,2
hora,2
decreto,2
aparecer,2
menos,2
confesso,2
cara,2
amigo,2
chamado,2
tirar,2
mentirosas,2
hoje,2
sobre,2
polícia,2
encerrado,2
crime,2
responsável,2
fazendo,2
dizem,2
proposta,2
advogada,2
certo,2
chamada,2
acompanhar,2
fiscalização,2
ministro,2
conta,2
acesso,2
informação,2
espécie,2
lembrar,2
processo,2
empresas,2
estado,2
deixou,2
imóveis,2
nenhuma,2
facilidade,2
máquina,2
cotas,2
periférico,2
oportunidade,2
estudar,2
sido,2
universidade,2
meio,2
estudantes,2
empregada,2
doméstica,2
importante,2
agora,2
olhe,2
volte,2
saudade,2
saúde,2
possam,2
conseguiu,2
Simone,2
sabemos,2
todo,2
comportamento,2
clima,2
resolver,2
desmatamento,2
quilômetros,2
carbono,2
garimpo,2
ilegal,2
invadir,2
pastos,2
degradados,2
precisar,2
regras,2
processos,2
nada,2
vida,2
enganar,2
prestar,2
congresso,2
efetivamente,2
feito,2
todas,2
tentar,2
criar,2
inclusive,2
paulo,2
local,2
existe,2
inflação,2
desemprego,2
começamos,2
entregues,2
citar,2
deve,2
conhecer,2
veja,2
contratadas,2
quase,2
celulose,2
estatal,2
seguinte,2
produção,2
grande,2
indústria,2
ocupação,2
soja,2
milho,2
cumprimentar,2
sabem,2
melhorar,2
começar,1
forma,1
pobres,1
renda,1
enquanto,1
ricos,1
aumentamos,1
reforma,1
agrária,1
hectares,1
disposição,1
assentamento,1
famílias,1
programas,1
cansou,1
elogiar,1
participava,1
saiu,1
deputado,1
vontade,1
desenvolvimento,1
econômico,1
conquista,1
pequeno,1
cita,1
esquece,1
dilma,1
rousseff,1
golpista,1
ficou,1
responsáveis,1
quebra,1
eduardo,1
cunha,1
câmara,1
deputados,1
fazia,1
geladeira,1
carro,1
novo,1
churrasco,1
gosta,1
fale,1
coma,1
algo,1
consegue,1
conseguiam,1
viajar,1
avião,1
classe,1
média,1
dizia,1
aeroporto,1
virando,1
rodoviária,1
entrava,1
neguei,1
ajudou,1
banqueiro,1
ganhou,1
rurais,1
aumentaram,1
exportações,1
sabia,1
cheguei,1
fluxo,1
exportação,1
devia,1
fundo,1
monetário,1
pagamos,1
motivo,1
estados,1
unidos,1
china,1
argentina,1
países,1
década,1
século,1
esperava,1
honestidade,1
seriedade,1
montei,1
decretou,1
barras,1
ouro,1
comigo,1
precisava,1
olhar,1
espelho,1
acontecendo,1
oferecimento,1
importada,1
comissão,1
parlamentar,1
inquérito,1
covid,1
vier,1
microfone,1
comporte,1
respeite,1
feio,1
mente,1
descaradamente,1
atrapalhar,1
insanidade,1
fala,1
desfaçatez,1
outubro,1
mandar,1
acabando,1
esconder,1
assinar,1
homem,1
esconde,1
parar,1
outros,1
participem,1
favor,1
olha,1
bonner,1
incomodado,1
conviver,1
gestor,1
coordenar,1
tribunal,1
superior,1
acaba,1
site,1
mentiras,1
rede,1
digital,1
civil,1
decidiram,1
comum,1
procurar,1
fernando,1
henrique,1
cardoso,1
psdb,1
colocar,1
culpar,1
morte,1
filha,1
bastante,1
pare,1
suporta,1
passando,1
acabado,1
reconhecido,1
organização,1
nações,1
unidas,1
algum,1
insegurança,1
alimentar,1
acabar,1
contar,1
criou,1
portal,1
transparência,1
contas,1
controladoria,1
geral,1
união,1
fiscalizar,1
ministros,1
adentrar,1
pedindo,1
saberia,1
papel,1
higiênico,1
banheiro,1
anticorrupção,1
organizado,1
lavagem,1
coaf,1
conselho,1
controle,1
atividades,1
financeiras,1
movimentações,1
bancárias,1
atípicas,1
cartéis,1
sinto,1
atrapalhando,1
discutindo,1
futuro,1
deste,1
sinceramente,1
graças,1
combater,1
descoberta,1
punidas,1
acontece,1
prender,1
presos,1
liberar,1
funcionar,1
quebrou,1
fechou,1
postos,1
receber,1
investir,1
impostos,1
deixaram,1
arrecadados,1
alguns,1
escândalos,1
mansão,1
seis,1
Felipe,1
citação,1
preste,1
atenção,1
falam,1
parecida,1
experiência,1
concreta,1
apenas,1
compreendesse,1
pagamento,1
escravidão,1
permite,1
recupere,1
possibilidade,1
racismo,1
preconceito,1
marginalização,1
diploma,1
universitário,1
tirou,1
meninas,1
periferia,1
negras,1
filhas,1
faxineiro,1
lixeiro,1
carrega,1
filho,1
engenharia,1
medicina,1
diplomacia,1
durante,1
ganhar,1
cidadania,1
fontes,1
aparecem,1
somar,1
deram,1
diante,1
preocupação,1
farmácia,1
popular,1
sorridente,1
samu,1
atendimento,1
móvel,1
urgência,1
funcionando,1
especialista,1
boquirroto,1
crianças,1
tomar,1
café,1
almoçar,1
jantar,1
escola,1
vestida,1
decentemente,1
respeitadas,1
registro,1
carteira,1
férias,1
jornada,1
horário,1
almoço,1
tratada,1
cidadã,1
categoria,1
aprendi,1
construir,1
construíram,1
operário,1
elite,1
Tebet,1
acompanhamos,1
noticiário,1
determinado,1
desrespeitou,1
defesa,1
propõe,1
desde,1
copenhague,1
transformou,1
controlou,1
praticamente,1
assumimos,1
responsabilidade,1
evitar,1
emissão,1
proibir,1
terminantemente,1
nenhum,1
cidadão,1
agronegócio,1
queriam,1
terras,1
degradadas,1
utilizar,1
derrubar,1
árvore,1
agricultura,1
baixo,1
precisa,1
acho,1
pouquinho,1
desinformado,1
primeira,1
respeito,1
denúncias,1
ministra,1
montada,1
conseguimos,1
provar,1
culpabilidade,1
dentro,1
suprema,1
corte,1
dois,1
feira,1
gilmar,1
mendes,1
farsante,1
secretaria,1
receita,1
instituto,1
nome,1
pois,1
fiscal,1
multava,1
achacar,1
considerado,1
culpado,1
séria,1
outro,1
fantasiado,1
rapaz,1
fantasiando,1
chamar,1
Kelmon,1
senhor,1
conheça,1
cansado,1
mentirosa,1
tenta,1
proveito,1
onde,1
veio,1
debater,1
fariseu,1
veste,1
aprende,1
respeitar,1
fecha,1
boca,1
falando,1
fiquei,1
assinei,1
documento,1
respeitando,1
concluir,1
cristão,1
casado,1
batizado,1
crismado,1
frequentador,1
representante,1
vejo,1
impostor,1
disfarçado,1
frente,1
chefe,1
pôde,1
resolveu,1
cuide,1
figura,1
ninguém,1
vive,1
desmonte,1
aprovou,1
aldir,1
blanc,1
veto,1
liberou,1
recurso,1
desmontada,1
pandemia,1
reuniões,1
capitais,1
artistas,1
famosos,1
transformar,1
rentabilidade,1
geradora,1
noção,1
show,1
custa,1
instituições,1
comitê,1
capital,1
possa,1
estabelecer,1
nacionalizada,1
ficar,1
dependente,1
eixo,1
grandes,1
emissoras,1
regulação,1
representam,1
espaço,1
sendo,1
pouco,1
injusta,1
acusações,1
acompanha,1
economia,1
percebe,1
peguei,1
final,1
mandato,1
havido,1
deixamos,1
colchão,1
extraordinário,1
investisse,1
ficaram,1
andamento,1
cinco,1
projeto,1
pararam,1
governos,1
seguintes,1
fizeram,1
posso,1
governador,1
pmdb,1
prefeito,1
senador,1
nelsinho,1
trad,1
imprensa,1
moralizamos,1
sobretudo,1
capitalizamos,1
dólares,1
achou,1
sorte,1
pesquisa,1
tudo,1
mostrar,1
três,1
lagoas,1
lembra,1
bilhão,1
moradia,1
moradias,1
ureia,1
inaugurar,1
conviveu,1
deficitária,1
existir,1
caixa,1
econômica,1
basa,1
funcionam,1
presta,1
acabou,1
sério,1
climática,1
planeta,1
acha,1
continuar,1
loucura,1
irresponsável,1
agrícola,1
aprendemos,1
riqueza,1
biodiversidade,1
partir,1
dali,1
extrair,1
fármaco,1
cosmético,1
irresponsabilidade,1
desordenada,1
exemplo,1
pessoal,1
discutiu,1
quilômetro,1
produzir,1
dobrar,1
haverá,1
penso,1
povos,1
originários,1
indígenas,1
xapuri,1
realização,1
telespectadores,1
acordada,1
tipos,1
propostas,1
diferentes,1
provada,1
resultados,1
aconteceu,1
fazem,1
promessas,1
governando,1
portanto,1
soube,1
situação,1
sempre,1
falo,1
massa,1
salarial,1
fies,1
prouni,1
reuni,1
escolas,1
técnicas,1
fronteiras,1
mandou,1
jovens,1
preparar,1
competitivo,1
virado,1
protagonista,1
inteiro,1
único,1
convidado,1
participar,1
reunião,1
escolhido,1
capazes,1
